127.0.0.1 - - [23/Nov/2014:17:37:14 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:39:32 -0200] "PUT /GEF/bulk HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:39:47 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:39:47 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:06 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:06 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:07 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:07 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:08 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:08 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:09 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:09 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:09 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [23/Nov/2014:17:40:09 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
127.0.0.1 - - [23/Nov/2014:17:40:10 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:40:10 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
127.0.0.1 - - [23/Nov/2014:17:40:10 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:40:10 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
127.0.0.1 - - [23/Nov/2014:17:40:11 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:40:11 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
127.0.0.1 - - [23/Nov/2014:17:40:11 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:40:11 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
127.0.0.1 - - [23/Nov/2014:17:40:12 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:40:12 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
127.0.0.1 - - [23/Nov/2014:17:40:56 -0200] "PUT /GEF/bulk HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:41:05 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:41:05 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
127.0.0.1 - - [23/Nov/2014:17:41:33 -0200] "PUT /GEF/bulk HTTP/1.1" 500 8256
127.0.0.1 - - [23/Nov/2014:17:42:34 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:42:34 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 12
127.0.0.1 - - [23/Nov/2014:17:42:37 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:42:37 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 12
127.0.0.1 - - [23/Nov/2014:17:42:40 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:42:40 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 12
127.0.0.1 - - [23/Nov/2014:17:42:41 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:42:41 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 12
127.0.0.1 - - [23/Nov/2014:17:42:42 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:42:42 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 12
127.0.0.1 - - [23/Nov/2014:17:43:51 -0200] "PUT /GEF/bulk HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:43:54 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:43:54 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
127.0.0.1 - - [23/Nov/2014:17:43:58 -0200] "POST /GEF/distribute HTTP/1.1" 204 -
127.0.0.1 - - [23/Nov/2014:17:43:58 -0200] "GET /GEF/allStudentsClass HTTP/1.1" 200 332
